POINT_X,POINT_Y,Z
483209.3415,2822135.879,10
483207.2646,2822136.936,10
483201.3767,2822139.103,10
483193.937,2822141.016,10
483185.0954,2822142.512,10
483175.2183,2822143.445,10
483163.1696,2822143.698,10
483150.821,2822143.07,10
483139.9384,2822141.792,10
483129.6523,2822139.936,10
483120.3493,2822137.614,10
483112.0784,2822134.942,10
483102.8806,2822131.582,10
483093.779,2822127.938,10
483084.7678,2822124.058,10
483075.8522,2822119.961,10
483067.0486,2822115.637,10
483058.3857,2822111.048,10
483049.8659,2822106.141,10
483041.5057,2822100.966,10
483033.2983,2822095.552,10
483025.2534,2822089.904,10
483017.3982,2822084.001,10
483009.9401,2822077.968,10
483002.6629,2822071.712,10
482995.5415,2822065.273,10
482988.5675,2822058.674,10
482981.7488,2822051.92,10
482975.1097,2822044.997,10
482968.6924,2822037.874,10
482962.3218,2822030.263,10
482956.1836,2822022.454,10
482950.2288,2822014.493,10
482938.7716,2821998.23,10
482933.2637,2821989.947,10
482927.9275,2821981.555,10
482922.8032,2821973.036,10
482918.1296,2821964.748,10
482913.6336,2821956.355,10
482888.1779,2821905.945,10
482851.4303,2821834.997,10
482834.9291,2821802.229,10
482822.7182,2821777.575,10
482810.8002,2821752.784,10
482802.8551,2821735.472,10
482791.2947,2821709.34,10
482783.7816,2821691.836,10
482776.4805,2821674.246,10
482769.6965,2821656.977,10
482757.2547,2821623.043,10
482726.0752,2821535.667,10
482720.0186,2821517.919,10
482714.3322,2821500.134,10
482709.1294,2821482.213,10
482706.787,2821473.185,10
482704.5277,2821463.485,10
482700.5737,2821443.94,10
482697.1159,2821424.27,10
482694.3733,2821406.776,10
482691.959,2821389.231,10
482690.9212,2821380.438,10
482690.0427,2821371.633,10
482689.3162,2821362.111,10
482688.8205,2821352.579,10
482688.5631,2821343.046,10
482688.5758,2821333.519,10
482688.8386,2821325.26,10
482689.3326,2821317.023,10
482690.0587,2821308.819,10
482691.0358,2821300.661,10
482692.3019,2821292.567,10
482693.9419,2821284.374,10
482695.9367,2821276.289,10
482698.3029,2821268.34,10
482701.0843,2821260.561,10
482704.3538,2821252.999,10
482708.1721,2821245.697,10
482712.4589,2821238.624,10
482717.1205,2821231.745,10
482722.0898,2821225.038,10
482727.3232,2821218.493,10
482732.7979,2821212.116,10
482738.979,2821205.408,10
482745.377,2821198.877,10
482751.9511,2821192.502,10
482758.6786,2821186.276,10
482765.5532,2821180.206,10
482772.5837,2821174.315,10
482779.7426,2821168.651,10
482794.4284,2821157.78,10
482809.4398,2821147.342,10
482824.6962,2821137.266,10
482840.4125,2821127.41,10
482864.232,2821113.033,10
482942.2592,2821067.182,10
482966.0844,2821052.875,10
482989.5939,2821038.078,10
483005.8068,2821027.127,10
483021.7485,2821015.78,10
483037.3489,2821004.078,10
483052.5629,2820991.996,10
483060.0202,2820985.785,10
483067.3438,2820979.43,10
483074.4564,2820972.946,10
483081.3977,2820966.293,10
483088.1533,2820959.467,10
483094.6904,2820952.448,10
483100.9561,2820945.198,10
483106.4314,2820938.304,10
483111.677,2820931.221,10
483116.7394,2820923.992,10
483126.4311,2820909.2,10
483135.6179,2820894.056,10
483144.8192,2820877.654,10
483153.621,2820861.018,10
483162.1014,2820844.216,10
483170.1936,2820827.229,10
483174.2412,2820818.205,10
483182.0107,2820800.008,10
483193.23,2820772.521,10
483207.8322,2820735.702,10
483254.0778,2820617.043,10
483264.5169,2820590.885,10
483275.6112,2820563.991,10
483287.0699,2820537.253,10
483295.069,2820519.594,10
483298.7889,2820511.798,10
483310.5049,2820488.689,10
483318.7939,2820473.543,10
483323.2977,2820465.778,10
483332.6877,2820450.487,10
483342.6079,2820435.569,10
483348.1329,2820427.867,10
483353.8552,2820420.332,10
483359.8308,2820412.962,10
483366.9953,2820405.241,10
483375.5142,2820397.306,10
483383.423,2820390.835,10
483391.7931,2820384.674,10
483400.3423,2820378.962,10
483408.7859,2820373.837,10
483418.217,2820368.68,10
483426.5281,2820364.569,10
483433.156,2820361.564,10
483433.9896,2820361.222,10
483428.3516,2820557.142,6
483418.5515,2820579.191,6
483403.8218,2820611.597,6
483394.804,2820630.78,6
483374.6259,2820672.754,6
483366.8799,2820689.685,6
483363.0772,2820698.437,6
483352.1624,2820724.912,6
483341.6217,2820751.553,6
483310.4126,2820832.806,6
483299.7822,2820859.99,6
483292.3905,2820877.986,6
483288.7398,2820886.462,6
