POINT_X,POINT_Y,Z
483145.0053,2822249.499,10
483161.4172,2822249.499,10
483177.8291,2822249.499,10
483128.5934,2822233.087,10
483145.0053,2822233.087,10
483161.4172,2822233.087,10
483177.8291,2822233.087,10
482587.0005,2822216.675,12
482603.4124,2822216.675,12
482619.8243,2822216.675,12
482636.2362,2822216.675,12
482652.6481,2822216.675,12
482669.06,2822216.675,12
482685.4719,2822216.675,12
482701.8838,2822216.675,12
482718.2957,2822216.675,12
482734.7076,2822216.675,12
483112.1815,2822216.675,10
483128.5934,2822216.675,10
483145.0053,2822216.675,10
483161.4172,2822216.675,10
483177.8291,2822216.675,10
483194.241,2822216.675,10
482554.1767,2822200.263,12
482570.5886,2822200.263,12
482587.0005,2822200.263,12
482603.4124,2822200.263,12
482619.8243,2822200.263,12
482636.2362,2822200.263,12
482652.6481,2822200.263,12
482669.06,2822200.263,12
482685.4719,2822200.263,12
482701.8838,2822200.263,12
482718.2957,2822200.263,12
482734.7076,2822200.263,12
482751.1195,2822200.263,12
482767.5314,2822200.263,12
482783.9433,2822200.263,12
483095.7696,2822200.263,10
483112.1815,2822200.263,10
483128.5934,2822200.263,10
483145.0053,2822200.263,10
483161.4172,2822200.263,10
483177.8291,2822200.263,10
483194.241,2822200.263,10
482537.7648,2822183.851,12
482554.1767,2822183.851,12
482570.5886,2822183.851,12
482587.0005,2822183.851,12
482603.4124,2822183.851,12
482619.8243,2822183.851,12
482636.2362,2822183.851,12
482652.6481,2822183.851,12
482669.06,2822183.851,12
482685.4719,2822183.851,12
482701.8838,2822183.851,12
482718.2957,2822183.851,12
482734.7076,2822183.851,12
482751.1195,2822183.851,12
482767.5314,2822183.851,12
482783.9433,2822183.851,12
482800.3553,2822183.851,12
482816.7672,2822183.851,12
483079.3577,2822183.851,10.1999998
483095.7696,2822183.851,10
483112.1815,2822183.851,10
483128.5934,2822183.851,10
483145.0053,2822183.851,10
483161.4172,2822183.851,10
483177.8291,2822183.851,10
483194.241,2822183.851,10
482521.3528,2822167.439,12
482537.7648,2822167.439,12
482554.1767,2822167.439,12
482570.5886,2822167.439,12
482587.0005,2822167.439,12
482603.4124,2822167.439,12
482619.8243,2822167.439,12
482636.2362,2822167.439,12
482652.6481,2822167.439,12
482669.06,2822167.439,12
482685.4719,2822167.439,12
482701.8838,2822167.439,12
482718.2957,2822167.439,12
482734.7076,2822167.439,12
482751.1195,2822167.439,12
482767.5314,2822167.439,12
482783.9433,2822167.439,12
482800.3553,2822167.439,12
482816.7672,2822167.439,12
482833.1791,2822167.439,12
483079.3577,2822167.439,10.2011003
483095.7696,2822167.439,10
483112.1815,2822167.439,10
483128.5934,2822167.439,10
483145.0053,2822167.439,10
483161.4172,2822167.439,10
483177.8291,2822167.439,10
483194.241,2822167.439,10
482521.3528,2822151.027,12
482537.7648,2822151.027,12
482554.1767,2822151.027,12
482570.5886,2822151.027,12
482587.0005,2822151.027,12
482603.4124,2822151.027,12
482619.8243,2822151.027,12
482636.2362,2822151.027,12
482652.6481,2822151.027,12
482669.06,2822151.027,12
482685.4719,2822151.027,12
482701.8838,2822151.027,12
482718.2957,2822151.027,12
482734.7076,2822151.027,12
482751.1195,2822151.027,12
482767.5314,2822151.027,12
482783.9433,2822151.027,12
482800.3553,2822151.027,12
482816.7672,2822151.027,12
482833.1791,2822151.027,12
482849.591,2822151.027,12
482866.0029,2822151.027,12
482882.4148,2822151.027,12
482898.8267,2822151.027,12
483062.9458,2822151.027,10.2016001
483079.3577,2822151.027,10
483095.7696,2822151.027,10
483112.1815,2822151.027,10
483128.5934,2822151.027,10
483145.0053,2822151.027,10
483161.4172,2822151.027,10
483177.8291,2822151.027,10
483194.241,2822151.027,10
482504.9409,2822134.615,12
482521.3528,2822134.615,12
482537.7648,2822134.615,12
482554.1767,2822134.615,12
