POINT_X,POINT_Y,Z
483145.0053,2822249.499,19.6977005
483161.4172,2822249.499,19.7467995
483177.8291,2822249.499,19.7914009
483128.5934,2822233.087,19.6625996
483145.0053,2822233.087,19.6965008
483161.4172,2822233.087,19.7448006
483177.8291,2822233.087,19.7931004
482587.0005,2822216.675,17.2294998
482603.4124,2822216.675,17.3108997
482619.8243,2822216.675,17.3890991
482636.2362,2822216.675,17.4708996
482652.6481,2822216.675,17.5548992
482669.06,2822216.675,17.6403999
482685.4719,2822216.675,17.7262001
482701.8838,2822216.675,17.8113003
482718.2957,2822216.675,17.8946991
482734.7076,2822216.675,17.9745007
483112.1815,2822216.675,19.6047993
483128.5934,2822216.675,19.6590004
483145.0053,2822216.675,19.7131004
483161.4172,2822216.675,19.7474003
483177.8291,2822216.675,19.7940998
483194.241,2822216.675,20
482554.1767,2822200.263,17.0674
482570.5886,2822200.263,17.1352005
482587.0005,2822200.263,17.2119999
482603.4124,2822200.263,17.2917004
482619.8243,2822200.263,17.3759995
482636.2362,2822200.263,17.4633999
482652.6481,2822200.263,17.5529995
482669.06,2822200.263,17.6439991
482685.4719,2822200.263,17.7353992
482701.8838,2822200.263,17.8262005
482718.2957,2822200.263,17.9151001
482734.7076,2822200.263,17.9981995
482751.1195,2822200.263,18.0827007
482767.5314,2822200.263,18.1667995
482783.9433,2822200.263,18.2488995
483095.7696,2822200.263,19.5583992
483112.1815,2822200.263,19.6030006
483128.5934,2822200.263,19.6595001
483145.0053,2822200.263,19.7134991
483161.4172,2822200.263,19.7507
483177.8291,2822200.263,19.8003006
483194.241,2822200.263,20
482537.7648,2822183.851,17.0044994
482554.1767,2822183.851,17.0547009
482570.5886,2822183.851,17.1259995
482587.0005,2822183.851,17.2068996
482603.4124,2822183.851,17.2807999
482619.8243,2822183.851,17.3691998
482636.2362,2822183.851,17.4608994
482652.6481,2822183.851,17.5550995
482669.06,2822183.851,17.6509991
482685.4719,2822183.851,17.7478008
482701.8838,2822183.851,17.844101
482718.2957,2822183.851,17.9351997
482734.7076,2822183.851,18.0247993
482751.1195,2822183.851,18.1112003
482767.5314,2822183.851,18.1959991
482783.9433,2822183.851,18.2791004
482800.3553,2822183.851,18.3596992
482816.7672,2822183.851,18.4368992
483079.3577,2822183.851,19.4920998
483095.7696,2822183.851,19.5548992
483112.1815,2822183.851,19.6030998
483128.5934,2822183.851,19.6615009
483145.0053,2822183.851,19.7185993
483161.4172,2822183.851,19.7590008
483177.8291,2822183.851,19.8071995
483194.241,2822183.851,20
482521.3528,2822167.439,16.9995995
482537.7648,2822167.439,17.0189991
482554.1767,2822167.439,17.0652008
482570.5886,2822167.439,17.1278992
482587.0005,2822167.439,17.2066994
482603.4124,2822167.439,17.2928009
482619.8243,2822167.439,17.3684006
482636.2362,2822167.439,17.4629993
482652.6481,2822167.439,17.5606995
482669.06,2822167.439,17.6606998
482685.4719,2822167.439,17.7621002
482701.8838,2822167.439,17.8638992
482718.2957,2822167.439,17.9615002
482734.7076,2822167.439,18.0529995
482751.1195,2822167.439,18.1397991
482767.5314,2822167.439,18.2252998
482783.9433,2822167.439,18.3094006
482800.3553,2822167.439,18.3913994
482816.7672,2822167.439,18.4703999
482833.1791,2822167.439,18.5415001
483079.3577,2822167.439,19.4895
483095.7696,2822167.439,19.5547009
483112.1815,2822167.439,19.6068001
483128.5934,2822167.439,19.6679993
483145.0053,2822167.439,19.7250996
483161.4172,2822167.439,19.7691994
483177.8291,2822167.439,19.8195
483194.241,2822167.439,19.8635006
482521.3528,2822151.027,17.0055008
482537.7648,2822151.027,17.0317993
482554.1767,2822151.027,17.0788002
482570.5886,2822151.027,17.1434994
482587.0005,2822151.027,17.2133007
482603.4124,2822151.027,17.2985001
482619.8243,2822151.027,17.3899002
