POINT_X,POINT_Y,Z
483145.0053,2822249.499,37.4831009
483161.4172,2822249.499,37.4836006
483177.8291,2822249.499,37.4846001
483128.5934,2822233.087,37.5066986
483145.0053,2822233.087,37.4351006
483161.4172,2822233.087,37.4343987
483177.8291,2822233.087,37.4342003
482587.0005,2822216.675,40.3419991
482603.4124,2822216.675,39.6389008
482619.8243,2822216.675,38.9310989
482636.2362,2822216.675,38.9276009
482652.6481,2822216.675,38.9146004
482669.06,2822216.675,38.901001
482685.4719,2822216.675,38.8865013
482701.8838,2822216.675,38.8712006
482718.2957,2822216.675,38.8550987
482734.7076,2822216.675,38.8381996
483112.1815,2822216.675,37.5503006
483128.5934,2822216.675,37.4623985
483145.0053,2822216.675,35.8455009
483161.4172,2822216.675,35.8437996
483177.8291,2822216.675,37.3838997
483194.241,2822216.675,35.8328018
482554.1767,2822200.263,41.8045998
482570.5886,2822200.263,40.3493996
482587.0005,2822200.263,40.3440018
482603.4124,2822200.263,38.9417992
482619.8243,2822200.263,38.9332008
482636.2362,2822200.263,38.924099
482652.6481,2822200.263,38.9143982
482669.06,2822200.263,38.9073982
482685.4719,2822200.263,38.8927994
482701.8838,2822200.263,38.8773003
482718.2957,2822200.263,38.8610001
482734.7076,2822200.263,38.8438988
482751.1195,2822200.263,37.2914009
482767.5314,2822200.263,36.5712013
482783.9433,2822200.263,36.5573997
483095.7696,2822200.263,35.9869995
483112.1815,2822200.263,35.0847015
483128.5934,2822200.263,35.0747986
483145.0053,2822200.263,33.4774017
483161.4172,2822200.263,33.4766998
483177.8291,2822200.263,34.2392998
483194.241,2822200.263,34.235199
482537.7648,2822183.851,42.6295013
482554.1767,2822183.851,41.8086014
482570.5886,2822183.851,40.3510017
482587.0005,2822183.851,39.6557007
482603.4124,2822183.851,38.9434013
482619.8243,2822183.851,38.9347992
482636.2362,2822183.851,38.9255981
482652.6481,2822183.851,38.9155998
482669.06,2822183.851,38.9048996
482685.4719,2822183.851,38.8981018
482701.8838,2822183.851,38.8821983
482718.2957,2822183.851,38.8652
482734.7076,2822183.851,38.8471985
482751.1195,2822183.851,37.2877007
482767.5314,2822183.851,37.2761993
482783.9433,2822183.851,36.5465012
482800.3553,2822183.851,36.5163002
482816.7672,2822183.851,36.4785004
483079.3577,2822183.851,33.5906982
483095.7696,2822183.851,33.5601997
483112.1815,2822183.851,31.8773003
483128.5934,2822183.851,32.644001
483145.0053,2822183.851,32.6352997
483161.4172,2822183.851,33.4202995
483177.8291,2822183.851,31.7959995
483194.241,2822183.851,31.7971992
482521.3528,2822167.439,42.6212997
482537.7648,2822167.439,42.6357002
482554.1767,2822167.439,41.0691986
482570.5886,2822167.439,40.3524017
482587.0005,2822167.439,38.9527016
482603.4124,2822167.439,38.9445992
482619.8243,2822167.439,38.9357986
482636.2362,2822167.439,38.9263
482652.6481,2822167.439,38.9160995
482669.06,2822167.439,38.9048996
482685.4719,2822167.439,38.8928986
482701.8838,2822167.439,38.8858986
482718.2957,2822167.439,38.8679008
482734.7076,2822167.439,38.8484993
482751.1195,2822167.439,37.2804985
482767.5314,2822167.439,37.2659988
482783.9433,2822167.439,36.5337982
482800.3553,2822167.439,36.5040016
482816.7672,2822167.439,36.4682999
482833.1791,2822167.439,36.4291
483079.3577,2822167.439,33.5564003
483095.7696,2822167.439,33.5245018
483112.1815,2822167.439,31.8488998
483128.5934,2822167.439,31.8353996
483145.0053,2822167.439,31.823
483161.4172,2822167.439,32.589901
483177.8291,2822167.439,31.7560997
483194.241,2822167.439,31.7560997
482521.3528,2822151.027,42.6285019
482537.7648,2822151.027,41.8110008
482554.1767,2822151.027,41.0695992
482570.5886,2822151.027,40.3532982
482587.0005,2822151.027,38.9533997
482603.4124,2822151.027,38.9452019
482619.8243,2822151.027,38.9361992
482636.2362,2822151.027,38.9264984
482652.6481,2822151.027,38.9159012
482669.06,2822151.027,38.9043007
482685.4719,2822151.027,38.8914986
482701.8838,2822151.027,38.8774986
482718.2957,2822151.027,38.8620987
482734.7076,2822151.027,38.8487015
482751.1195,2822151.027,37.2714996
482767.5314,2822151.027,37.2547989
482783.9433,2822151.027,37.2340012
482800.3553,2822151.027,36.4911003
482816.7672,2822151.027,36.4562988
482833.1791,2822151.027,36.4179001
482849.591,2822151.027,36.3769989
482866.0029,2822151.027,36.3344994
482882.4148,2822151.027,36.2907982
482898.8267,2822151.027,34.7762985
483062.9458,2822151.027,32.0103989
483079.3577,2822151.027,31.9708004
483095.7696,2822151.027,31.9326992
483112.1815,2822151.027,31.8192997
483128.5934,2822151.027,31.8045998
483145.0053,2822151.027,31.7910004
483161.4172,2822151.027,30.2122002
483177.8291,2822151.027,31.7154007
483194.241,2822151.027,31.7143993
482504.9409,2822134.615,42.6194
482521.3528,2822134.615,42.6341019
482537.7648,2822134.615,41.0698013
482554.1767,2822134.615,40.3591995
482570.5886,2822134.615,39.6661987
482587.0005,2822134.615,38.9536018
482603.4124,2822134.615,38.9453011
482619.8243,2822134.615,38.9361
